response,review,model,hamming_distance,levenshtein_distance,bert_metric,jaccard_distance,needleman_wunsch_distance,smith_waterman_distance
"```json
{
    ""product_category"": ""Electric bicycle"",
    ""product_attributes"": [
        ""Battery performance"",
        ""Speed limit"",
        ""Range""
    ],
    ""other_keywords"": [
        ""calm driving"",
        ""30 km/h"",
        ""60-70km""
    ]
}
```","{'review_content': 'The main thing: on the battery itself, driving calmly, not exceeding 30 km/h, you can do 60-70km.', 'golden_answer': {'product_category': 'Electic bicycle', 'product_attributes': ['battery', 'calmly', '30 km/h', '60-70km'], 'other_keywords': ['battery', 'calmly']}}",Qwen/Qwen2.5-7B-Instruct,71.0,51.0,0.885455310344696,0.33333333333333337,43.0,43.0
"```json
{
        ""product_category"": ""Electric bicycle"",
        ""product_attributes"": [
            ""Looks like in the pictures"",
            ""Comes with accessories"",
            ""Perfect ride"",
            ""Feels powerful""
        ],
        ""other_keywords"": [
            ""sensational"",
            ""battery range"",
            ""first ride""
        ]
}
```","{'review_content': 'Super contact, the bike looks like in the pictures plus accessories, the first sensational ride, I do not yet know what range on the battery but you ride perfectly, feel the power.', 'golden_answer': {'product_category': 'Electic bicycle', 'product_attributes': ['contact', 'bike', 'pictures', 'accessories', 'sensational', 'ride', 'range', 'battery', 'ride', 'power'], 'other_keywords': ['battery', 'accessories', 'sensational', 'super', 'power']}}",Qwen/Qwen2.5-7B-Instruct,112.0,85.0,0.8517331480979919,0.2592592592592593,77.0,77.0
"```json
{
        ""product_category"": {
            ""type"": ""string"",
            ""enum"": [""Electric bicycle"", ""Refrigirator"", ""The Blocks"", ""Others""],
            ""value"": ""Electric bicycle""
        },
        ""product_attributes"": {
            ""type"": ""array"",
            ""items"": {
                ""type"": ""string""
            },
            ""value"": [""Great""]
        },
        ""other_keywords"": {
            ""type"": ""array"",
            ""items"": {
                ""type"": ""string""
            },
            ""value"": [""We'll see"", ""works"", ""okay""]
        }
}
```","{'review_content': ""The bike is great. We'll see how it works, but I think it'll be okay"", 'golden_answer': {'product_category': 'Electic bicycle', 'product_attributes': ['bike', 'great', 'works', 'okay'], 'other_keywords': ['great', 'okay']}}",Qwen/Qwen2.5-7B-Instruct,47.0,38.0,0.8066446781158447,0.5238095238095238,16.0,16.0
"```json
{
        ""product_category"": {
            ""type"": ""Refrigerator""
        },
        ""product_attributes"": [
            ""Super"",
            ""Keeps fruits and vegetables fresh for longer""
        ],
        ""other_keywords"": [
            ""works as described"",
            ""recommend""
        ]
}
```","{'review_content': 'Super refrigerator and actually it works fruits and vegetables can fly much longer while keeping fresh as it works in the description I recommend', 'golden_answer': {'product_category': 'Refrigirator', 'product_attributes': ['refrigerator', 'fruits', 'vegetables', 'fresh', 'description', 'recommend'], 'other_keywords': ['super', 'fresh', 'recommend']}}",Qwen/Qwen2.5-7B-Instruct,77.0,43.0,0.8356834650039673,0.16000000000000003,60.0,60.0
"```json
{
        ""product_category"": {
            ""type"": ""Refrigerator""
        },
        ""product_attributes"": [
            ""capauous"",
            ""super muted"",
            ""advertised"",
            ""Korean manufacturer"",
            ""beats on the head""
        ],
        ""other_keywords"": [
            ""Very"",
            ""legated"",
            ""refrigerators""
        ]
}
```","{'review_content': 'Very capauous refrigerator, super muted advertised refrigerators of the legated Korean manufacturer beats on the head!', 'golden_answer': {'product_category': 'Refrigirator', 'product_attributes': ['refrigerator', 'capauous', 'muted', 'Korean'], 'other_keywords': ['capauous', 'muted', 'Korean']}}",Qwen/Qwen2.5-7B-Instruct,93.0,72.0,0.8265184760093689,0.25,47.0,47.0
"```json
{
        ""product_category"": {
            ""type"": ""Refrigerator""
        },
        ""product_attributes"": [
            ""recently purchased"",
            ""currently not recommended""
        ],
        ""other_keywords"": [
            ""recently"",
            ""for now""
        ]
}
```","{'review_content': ""I've had the Refrigerator recently, but for now, I can only recommend it."", 'golden_answer': {'product_category': 'Refrigirator', 'product_attributes': ['Refrigerator', 'recommend'], 'other_keywords': ['recently', 'recommend']}}",Qwen/Qwen2.5-7B-Instruct,59.0,37.0,0.8612265586853027,0.23809523809523814,40.0,40.0
"```json
{
        ""product_category"": ""The Blocks"",
        ""product_attributes"": [
            ""architecture"",
            ""impressive""
        ],
        ""other_keywords"": [
            ""folding""
        ]
}
```","{'review_content': 'The whole series of architecture is great, it makes an impression after folding.', 'golden_answer': {'product_category': 'The Blocks', 'product_attributes': ['series', 'architecture', 'great', 'impression', 'folding'], 'other_keywords': ['great', 'impression']}}",Qwen/Qwen2.5-7B-Instruct,60.0,32.0,0.8964154720306396,0.045454545454545414,40.0,40.0
"```json
{
        ""product_category"": {
            ""type"": ""string"",
            ""enum"": [""The Blocks""]
        },
        ""product_attributes"": [
            ""Many elements are movable"",
            ""Refined"",
            ""Aesthetic""
        ],
        ""other_keywords"": [
            ""Great LEGO bricks"",
            ""I really recommend it""
        ]
}
```","{'review_content': 'Great LEGO bricks. Many elements are movable, everything is refined and aesthetic. I really recommend it.', 'golden_answer': {'product_category': 'The Blocks', 'product_attributes': ['LEGO bricks', 'movable', 'refined', 'aesthetic', 'recommend'], 'other_keywords': ['movable', 'refined', 'aesthetic', 'recommend']}}",Qwen/Qwen2.5-7B-Instruct,93.0,57.0,0.8413389921188354,0.2666666666666667,48.0,48.0
"```json
{
        ""product_category"": {
            ""type"": ""string"",
            ""value"": ""The Blocks""
        },
        ""product_attributes"": [
            ""super set"",
            ""super two models"",
            ""large number of blocks"",
            ""detail and mapping at the highest level""
        ],
        ""other_keywords"": [
            ""son is pleased""
        ]
}
```","{'review_content': 'Super set with super two models. A large number of blocks. Detail and mapping at the highest level. The son is pleased.', 'golden_answer': {'product_category': 'The Blocks', 'product_attributes': ['set', 'models', 'large', 'blocks', 'detail', 'mapping', 'highest', 'pleased'], 'other_keywords': ['super', 'large', 'highest', 'pleased']}}",Qwen/Qwen2.5-7B-Instruct,108.0,60.0,0.8804134726524353,0.20833333333333337,67.0,67.0
"outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
outine
","{'review_content': 'The main thing: on the battery itself, driving calmly, not exceeding 30 km/h, you can do 60-70km.', 'golden_answer': {'product_category': 'Electic bicycle', 'product_attributes': ['battery', 'calmly', '30 km/h', '60-70km'], 'other_keywords': ['battery', 'calmly']}}",Qwen/Qwen2.5-1.5B,,,,,,
